Date,Room,Device,Power_Consumption,Temperature,Humidity,Status,Year,Month,Week
2016-01-05,Bedroom1,Fan,145,28.2,68.6,OFF,2016,1,1
2016-01-05,Bedroom2,AC,286,24.2,78.2,ON,2016,1,1
2016-01-05,Bedroom2,Lamp,241,28.3,64.5,ON,2016,1,1
2016-01-05,Bedroom2,TV,125,28.5,46.3,OFF,2016,1,1
2016-01-05,Bedroom2,Heater,234,25.1,43.7,ON,2016,1,1
2016-01-05,Bedroom2,Fan,143,32.8,68.1,OFF,2016,1,1
2016-01-05,Kitchen,AC,449,21.5,59.7,ON,2016,1,1
2016-01-05,Kitchen,Lamp,149,22.6,57.4,ON,2016,1,1
2016-01-05,Kitchen,TV,299,29.2,65.4,OFF,2016,1,1
2016-01-05,Kitchen,Heater,229,25.6,65.0,OFF,2016,1,1
2016-01-05,Kitchen,Fan,145,32.8,66.3,OFF,2016,1,1
2016-01-05,Living Room,AC,65,21.1,65.7,ON,2016,1,1
2016-01-05,Living Room,Lamp,433,29.5,72.0,OFF,2016,1,1
2016-01-05,Living Room,TV,227,28.6,45.1,ON,2016,1,1
2016-01-05,Living Room,Heater,228,32.3,65.0,ON,2016,1,1
2016-01-05,Living Room,Fan,466,29.8,48.3,ON,2016,1,1
2016-01-05,Store Room,AC,446,23.2,55.1,ON,2016,1,1
2016-01-05,Store Room,Lamp,291,30.2,42.8,OFF,2016,1,1
2016-01-05,Store Room,TV,142,32.7,40.9,OFF,2016,1,1
2016-01-05,Store Room,Heater,164,24.2,44.7,ON,2016,1,1
2016-01-05,Store Room,Fan,163,29.4,75.1,OFF,2016,1,1
2016-01-06,Bedroom1,AC,266,32.1,51.3,OFF,2016,1,1
2016-01-06,Bedroom1,Lamp,406,31.3,72.3,ON,2016,1,1
2016-01-06,Bedroom1,TV,148,26.2,54.9,ON,2016,1,1
2016-01-06,Bedroom1,Heater,145,25.1,77.2,ON,2016,1,1
2016-01-06,Bedroom1,Fan,317,26.4,70.0,ON,2016,1,1
2016-01-06,Bedroom2,AC,404,21.5,76.1,OFF,2016,1,1
2016-01-06,Bedroom2,Lamp,133,32.4,52.8,ON,2016,1,1
2016-01-06,Bedroom2,TV,68,25.8,40.4,ON,2016,1,1
2016-01-06,Bedroom2,Heater,452,21.4,52.8,OFF,2016,1,1
2016-01-06,Bedroom2,Fan,272,34.3,62.9,ON,2016,1,1
2016-01-06,Kitchen,AC,193,26.7,51.7,ON,2016,1,1
2016-01-06,Kitchen,Lamp,485,30.1,70.1,ON,2016,1,1
2016-01-06,Kitchen,TV,193,31.8,43.6,OFF,2016,1,1
2016-01-06,Kitchen,Heater,235,20.9,62.0,ON,2016,1,1
2016-01-06,Kitchen,Fan,212,33.3,54.0,OFF,2016,1,1
2016-01-06,Living Room,AC,288,22.1,70.5,OFF,2016,1,1
2016-01-06,Living Room,Lamp,450,21.5,43.4,ON,2016,1,1
2016-01-06,Living Room,TV,217,21.1,72.9,OFF,2016,1,1
2016-01-06,Living Room,Heater,243,21.2,43.4,ON,2016,1,1
2016-01-06,Living Room,Fan,185,25.6,54.8,OFF,2016,1,1
2016-01-06,Store Room,AC,194,34.2,79.4,OFF,2016,1,1
2016-01-06,Store Room,Lamp,341,25.6,43.3,ON,2016,1,1
2016-01-06,Store Room,TV,413,28.4,57.0,OFF,2016,1,1
2016-01-06,Store Room,Heater,68,21.7,59.7,ON,2016,1,1
2016-01-06,Store Room,Fan,291,27.0,42.3,OFF,2016,1,1
2016-01-07,Bedroom1,AC,366,32.3,69.8,ON,2016,1,1
2016-01-07,Bedroom1,Lamp,397,34.4,55.0,ON,2016,1,1
2016-01-07,Bedroom1,TV,458,33.0,48.9,OFF,2016,1,1
2016-01-07,Bedroom1,Heater,107,20.2,78.8,ON,2016,1,1
2016-01-07,Bedroom1,Fan,352,33.4,61.1,ON,2016,1,1
2016-01-07,Bedroom2,AC,301,21.1,62.2,OFF,2016,1,1
2016-01-07,Bedroom2,Lamp,490,27.8,65.2,OFF,2016,1,1
2016-01-07,Bedroom2,TV,192,26.8,65.1,OFF,2016,1,1
2016-01-07,Bedroom2,Heater,308,33.5,41.8,OFF,2016,1,1
2016-01-07,Bedroom2,Fan,379,34.3,75.6,OFF,2016,1,1
2016-01-07,Kitchen,AC,457,29.3,51.1,OFF,2016,1,1
2016-01-07,Kitchen,Lamp,213,27.0,54.1,OFF,2016,1,1
2016-01-07,Kitchen,TV,77,21.2,79.0,OFF,2016,1,1
2016-01-07,Kitchen,Heater,460,30.5,61.4,ON,2016,1,1
2016-01-07,Kitchen,Fan,261,29.0,50.8,ON,2016,1,1
2016-01-07,Living Room,AC,95,21.1,77.6,ON,2016,1,1
2016-01-07,Living Room,Lamp,305,28.7,76.8,OFF,2016,1,1
2016-01-07,Living Room,TV,361,33.1,62.1,ON,2016,1,1
2016-01-07,Living Room,Heater,168,26.2,71.1,OFF,2016,1,1
2016-01-07,Living Room,Fan,273,34.8,55.1,OFF,2016,1,1
2016-01-07,Store Room,AC,112,25.9,73.2,ON,2016,1,1
2016-01-07,Store Room,Lamp,466,27.0,56.6,ON,2016,1,1
2016-01-07,Store Room,TV,454,20.8,74.6,ON,2016,1,1
2016-01-07,Store Room,Heater,246,35.0,79.9,ON,2016,1,1
2016-01-07,Store Room,Fan,72,31.5,77.8,OFF,2016,1,1
2016-01-08,Bedroom1,AC,132,23.7,58.0,OFF,2016,1,1
2016-01-08,Bedroom1,Lamp,50,34.3,64.2,OFF,2016,1,1
2016-01-08,Bedroom1,TV,498,30.1,64.7,OFF,2016,1,1
2016-01-08,Bedroom1,Heater,144,21.7,66.9,OFF,2016,1,1
2016-01-08,Bedroom1,Fan,487,31.6,60.8,OFF,2016,1,1
2016-01-08,Bedroom2,AC,498,28.3,62.4,OFF,2016,1,1
2016-01-08,Bedroom2,Lamp,300,26.1,45.4,ON,2016,1,1
2016-01-08,Bedroom2,TV,456,31.3,64.8,OFF,2016,1,1
2016-01-08,Bedroom2,Heater,124,23.2,45.5,OFF,2016,1,1
2016-01-08,Bedroom2,Fan,275,25.3,63.6,OFF,2016,1,1
2016-01-08,Kitchen,AC,384,26.6,76.2,OFF,2016,1,1
2016-01-08,Kitchen,Lamp,298,27.7,71.3,OFF,2016,1,1
2016-01-08,Kitchen,TV,79,29.3,74.5,ON,2016,1,1
2016-01-08,Kitchen,Heater,334,22.2,77.1,OFF,2016,1,1
2016-01-08,Kitchen,Fan,322,23.9,58.4,OFF,2016,1,1
2016-01-08,Living Room,AC,311,27.4,53.2,ON,2016,1,1
2016-01-08,Living Room,Lamp,92,23.6,43.0,ON,2016,1,1
2016-01-08,Living Room,TV,200,21.9,46.1,OFF,2016,1,1
2016-01-08,Living Room,Heater,449,29.6,47.3,OFF,2016,1,1
2016-01-08,Living Room,Fan,330,33.5,59.0,ON,2016,1,1
2016-01-08,Store Room,AC,209,22.6,47.7,ON,2016,1,1
2016-01-08,Store Room,Lamp,326,22.5,51.1,ON,2016,1,1
2016-01-08,Store Room,TV,71,21.3,44.8,ON,2016,1,1
2016-01-08,Store Room,Heater,61,23.1,54.6,OFF,2016,1,1
2016-01-08,Store Room,Fan,267,30.4,41.6,ON,2016,1,1
2016-01-09,Bedroom1,AC,96,29.4,43.3,OFF,2016,1,1
2016-01-09,Bedroom1,Lamp,156,33.8,42.4,OFF,2016,1,1
2016-01-09,Bedroom1,TV,341,32.1,69.9,ON,2016,1,1
2016-01-09,Bedroom1,Heater,229,23.1,54.8,OFF,2016,1,1
2016-01-09,Bedroom1,Fan,63,29.3,54.8,OFF,2016,1,1
2016-01-09,Bedroom2,AC,435,31.2,41.5,OFF,2016,1,1
2016-01-09,Bedroom2,Lamp,420,30.7,75.8,OFF,2016,1,1
2016-01-09,Bedroom2,TV,412,28.0,44.3,OFF,2016,1,1
2016-01-09,Bedroom2,Heater,343,28.0,49.7,ON,2016,1,1
2016-01-09,Bedroom2,Fan,168,25.7,40.8,ON,2016,1,1
2016-01-09,Kitchen,AC,322,23.2,53.1,OFF,2016,1,1
2016-01-09,Kitchen,Lamp,74,33.4,63.7,OFF,2016,1,1
2016-01-09,Kitchen,TV,443,31.8,59.9,ON,2016,1,1
2016-01-09,Kitchen,Heater,277,28.1,63.5,OFF,2016,1,1
2016-01-09,Kitchen,Fan,473,26.5,45.1,ON,2016,1,1
2016-01-09,Living Room,AC,150,25.4,65.8,OFF,2016,1,1
2016-01-09,Living Room,Lamp,492,25.3,79.5,ON,2016,1,1
2016-01-09,Living Room,TV,426,23.6,44.1,OFF,2016,1,1
2016-01-09,Living Room,Heater,119,23.7,46.4,ON,2016,1,1
2016-01-09,Living Room,Fan,495,24.3,46.9,ON,2016,1,1
2016-01-09,Store Room,AC,186,21.2,61.0,OFF,2016,1,1
2016-01-09,Store Room,Lamp,278,34.7,44.5,OFF,2016,1,1
2016-01-09,Store Room,TV,269,33.8,40.2,OFF,2016,1,1
2016-01-09,Store Room,Heater,418,27.4,68.9,OFF,2016,1,1
2016-01-09,Store Room,Fan,490,30.8,61.4,OFF,2016,1,1
2016-01-10,Bedroom1,AC,484,32.6,48.2,OFF,2016,1,1
2016-01-10,Bedroom1,Lamp,167,30.7,48.0,OFF,2016,1,1
2016-01-10,Bedroom1,TV,162,27.9,68.3,OFF,2016,1,1
2016-01-10,Bedroom1,Heater,369,21.3,60.2,ON,2016,1,1
2016-01-10,Bedroom1,Fan,405,24.8,63.8,OFF,2016,1,1
2016-01-10,Bedroom2,AC,227,26.8,61.9,OFF,2016,1,1
2016-01-10,Bedroom2,Lamp,221,23.0,67.4,OFF,2016,1,1
2016-01-10,Bedroom2,TV,370,22.1,40.1,ON,2016,1,1
2016-01-10,Bedroom2,Heater,448,27.1,56.5,OFF,2016,1,1
2016-01-10,Bedroom2,Fan,144,33.9,73.2,OFF,2016,1,1
2016-01-10,Kitchen,AC,483,21.9,69.2,ON,2016,1,1
2016-01-10,Kitchen,Lamp,467,22.7,42.7,OFF,2016,1,1
2016-01-10,Kitchen,TV,369,28.6,73.7,OFF,2016,1,1
2016-01-10,Kitchen,Heater,316,31.9,48.1,OFF,2016,1,1
2016-01-10,Kitchen,Fan,340,22.5,72.6,ON,2016,1,1
2016-01-10,Living Room,AC,127,27.8,54.4,ON,2016,1,1
2016-01-10,Living Room,Lamp,91,25.9,72.7,ON,2016,1,1
2016-01-10,Living Room,TV,153,25.7,58.5,OFF,2016,1,1
2016-01-10,Living Room,Heater,402,31.2,60.1,ON,2016,1,1
2016-01-10,Living Room,Fan,194,33.5,55.4,OFF,2016,1,1
2016-01-10,Store Room,AC,358,33.6,65.0,ON,2016,1,1
2016-01-10,Store Room,Lamp,247,34.1,65.1,OFF,2016,1,1
2016-01-10,Store Room,TV,91,22.1,71.8,ON,2016,1,1
2016-01-10,Store Room,Heater,338,28.0,75.8,OFF,2016,1,1
2016-01-10,Store Room,Fan,206,22.3,52.5,ON,2016,1,1
2016-01-11,Bedroom1,AC,460,31.2,41.3,OFF,2016,1,2
2016-01-11,Bedroom1,Lamp,371,31.4,75.1,ON,2016,1,2
2016-01-11,Bedroom1,TV,167,32.3,44.4,OFF,2016,1,2
2016-01-11,Bedroom1,Heater,414,21.9,55.9,ON,2016,1,2
2016-01-11,Bedroom1,Fan,185,22.2,49.2,OFF,2016,1,2
2016-01-11,Bedroom2,AC,222,30.8,65.6,ON,2016,1,2
2016-01-11,Bedroom2,Lamp,469,28.1,50.1,ON,2016,1,2
2016-01-11,Bedroom2,TV,197,22.7,76.3,OFF,2016,1,2
2016-01-11,Bedroom2,Heater,183,26.0,58.5,OFF,2016,1,2
2016-01-11,Bedroom2,Fan,412,22.3,63.4,OFF,2016,1,2
2016-01-11,Kitchen,AC,259,29.2,40.7,OFF,2016,1,2
2016-01-11,Kitchen,Lamp,220,34.0,62.6,OFF,2016,1,2
2016-01-11,Kitchen,TV,182,33.8,68.3,OFF,2016,1,2
2016-01-11,Kitchen,Heater,141,25.6,42.8,ON,2016,1,2
2016-01-11,Kitchen,Fan,78,21.6,73.6,ON,2016,1,2
2016-01-11,Living Room,AC,456,21.8,49.4,OFF,2016,1,2
2016-01-11,Living Room,Lamp,159,22.8,73.5,ON,2016,1,2
2016-01-11,Living Room,TV,368,24.7,49.1,ON,2016,1,2
2016-01-11,Living Room,Heater,198,25.7,69.8,OFF,2016,1,2
2016-01-11,Living Room,Fan,485,31.8,64.1,ON,2016,1,2
2016-01-11,Store Room,AC,112,26.2,74.5,OFF,2016,1,2
2016-01-11,Store Room,Lamp,435,27.0,59.2,ON,2016,1,2
2016-01-11,Store Room,TV,66,28.8,41.3,ON,2016,1,2
2016-01-11,Store Room,Heater,228,23.7,63.1,OFF,2016,1,2
2016-01-11,Store Room,Fan,247,20.5,52.5,ON,2016,1,2
2016-01-12,Bedroom1,AC,112,24.2,48.8,OFF,2016,1,2
2016-01-12,Bedroom1,Lamp,98,22.7,78.4,ON,2016,1,2
2016-01-12,Bedroom1,TV,197,26.2,43.4,ON,2016,1,2
2016-01-12,Bedroom1,Heater,409,27.5,63.8,ON,2016,1,2
2016-01-12,Bedroom1,Fan,264,26.4,72.0,OFF,2016,1,2
2016-01-12,Bedroom2,AC,81,27.0,65.0,ON,2016,1,2
2016-01-12,Bedroom2,Lamp,335,32.5,63.5,ON,2016,1,2
2016-01-12,Bedroom2,TV,127,30.7,61.1,OFF,2016,1,2
2016-01-12,Bedroom2,Heater,162,26.0,62.4,ON,2016,1,2
2016-01-12,Bedroom2,Fan,181,22.7,74.5,ON,2016,1,2
2016-01-12,Kitchen,AC,180,25.6,50.8,OFF,2016,1,2
2016-01-12,Kitchen,Lamp,211,26.1,41.0,OFF,2016,1,2
2016-01-12,Kitchen,TV,337,30.7,66.4,ON,2016,1,2
2016-01-12,Kitchen,Heater,362,23.3,49.2,ON,2016,1,2
2016-01-12,Kitchen,Fan,304,20.3,44.2,ON,2016,1,2
2016-01-12,Living Room,AC,278,22.7,66.1,ON,2016,1,2
2016-01-12,Living Room,Lamp,313,21.5,49.7,OFF,2016,1,2
2016-01-12,Living Room,TV,337,32.8,73.2,OFF,2016,1,2
2016-01-12,Living Room,Heater,214,22.1,56.3,ON,2016,1,2
2016-01-12,Living Room,Fan,481,21.3,65.3,ON,2016,1,2
2016-01-12,Store Room,AC,200,32.7,44.9,ON,2016,1,2
2016-01-12,Store Room,Lamp,85,29.6,68.2,ON,2016,1,2
2016-01-12,Store Room,TV,352,29.4,53.4,ON,2016,1,2
2016-01-12,Store Room,Heater,435,25.4,41.4,OFF,2016,1,2
2016-01-12,Store Room,Fan,310,25.2,71.0,ON,2016,1,2
2016-01-13,Bedroom1,AC,275,32.9,48.8,OFF,2016,1,2
2016-01-13,Bedroom1,Lamp,391,31.7,44.6,OFF,2016,1,2
2016-01-13,Bedroom1,TV,169,34.8,58.8,OFF,2016,1,2
2016-01-13,Bedroom1,Heater,258,27.3,60.5,ON,2016,1,2
2016-01-13,Bedroom1,Fan,89,30.5,56.1,ON,2016,1,2
2016-01-13,Bedroom2,AC,295,29.7,56.9,OFF,2016,1,2
2016-01-13,Bedroom2,Lamp,491,33.5,67.6,ON,2016,1,2
2016-01-13,Bedroom2,TV,124,32.3,61.2,OFF,2016,1,2
2016-01-13,Bedroom2,Heater,405,27.5,42.7,ON,2016,1,2
2016-01-13,Bedroom2,Fan,202,27.5,68.8,ON,2016,1,2
2016-01-13,Kitchen,AC,411,22.1,50.5,ON,2016,1,2
2016-01-13,Kitchen,Lamp,183,31.0,50.0,ON,2016,1,2
2016-01-13,Kitchen,TV,358,22.6,76.6,OFF,2016,1,2
2016-01-13,Kitchen,Heater,239,27.8,41.9,OFF,2016,1,2
2016-01-13,Kitchen,Fan,359,31.1,43.3,OFF,2016,1,2
2016-01-13,Living Room,AC,420,23.7,55.6,OFF,2016,1,2
2016-01-13,Living Room,Lamp,60,25.3,68.8,ON,2016,1,2
2016-01-13,Living Room,TV,281,28.5,59.0,ON,2016,1,2
2016-01-13,Living Room,Heater,201,34.1,69.3,ON,2016,1,2
2016-01-13,Living Room,Fan,299,20.5,50.5,ON,2016,1,2
2016-01-13,Store Room,AC,293,20.8,59.9,ON,2016,1,2
2016-01-13,Store Room,Lamp,250,31.6,44.3,ON,2016,1,2
2016-01-13,Store Room,TV,345,30.9,59.8,ON,2016,1,2
2016-01-13,Store Room,Heater,153,26.5,49.9,ON,2016,1,2
2016-01-13,Store Room,Fan,278,20.0,78.7,OFF,2016,1,2
2016-01-14,Bedroom1,AC,403,21.5,52.6,ON,2016,1,2
2016-01-14,Bedroom1,Lamp,354,22.1,78.0,ON,2016,1,2
2016-01-14,Bedroom1,TV,352,21.3,78.3,ON,2016,1,2
2016-01-14,Bedroom1,Heater,313,29.6,70.4,ON,2016,1,2
2016-01-14,Bedroom1,Fan,423,29.6,79.2,OFF,2016,1,2
2016-01-14,Bedroom2,AC,138,29.7,67.7,ON,2016,1,2
2016-01-14,Bedroom2,Lamp,414,30.0,41.8,OFF,2016,1,2
2016-01-14,Bedroom2,TV,248,35.0,62.2,OFF,2016,1,2
2016-01-14,Bedroom2,Heater,299,24.7,44.8,ON,2016,1,2
2016-01-14,Bedroom2,Fan,186,22.9,44.6,ON,2016,1,2
2016-01-14,Kitchen,AC,264,31.9,69.8,OFF,2016,1,2
2016-01-14,Kitchen,Lamp,472,26.8,60.9,ON,2016,1,2
2016-01-14,Kitchen,TV,322,29.8,54.6,OFF,2016,1,2
2016-01-14,Kitchen,Heater,237,27.2,75.4,ON,2016,1,2
2016-01-14,Kitchen,Fan,473,26.6,56.2,ON,2016,1,2
2016-01-14,Living Room,AC,64,32.1,61.5,OFF,2016,1,2
2016-01-14,Living Room,Lamp,458,31.1,60.8,ON,2016,1,2
2016-01-14,Living Room,TV,475,33.1,56.7,ON,2016,1,2
2016-01-14,Living Room,Heater,219,34.9,40.0,ON,2016,1,2
2016-01-14,Living Room,Fan,190,25.8,77.3,ON,2016,1,2
2016-01-14,Store Room,AC,88,20.1,42.1,ON,2016,1,2
2016-01-14,Store Room,Lamp,367,27.2,65.1,OFF,2016,1,2
2016-01-14,Store Room,TV,285,34.8,70.7,ON,2016,1,2
2016-01-14,Store Room,Heater,408,27.8,69.3,ON,2016,1,2
2016-01-14,Store Room,Fan,52,27.0,51.9,OFF,2016,1,2
2016-01-15,Bedroom1,AC,373,30.7,63.6,OFF,2016,1,2
2016-01-15,Bedroom1,Lamp,242,33.7,41.8,ON,2016,1,2
2016-01-15,Bedroom1,TV,354,25.9,45.0,ON,2016,1,2
2016-01-15,Bedroom1,Heater,342,31.8,43.6,OFF,2016,1,2
2016-01-15,Bedroom1,Fan,344,33.2,77.8,ON,2016,1,2
2016-01-15,Bedroom2,AC,111,29.2,46.7,OFF,2016,1,2
2016-01-15,Bedroom2,Lamp,309,23.5,77.7,ON,2016,1,2
2016-01-15,Bedroom2,TV,359,29.1,60.5,OFF,2016,1,2
2016-01-15,Bedroom2,Heater,156,22.6,48.8,ON,2016,1,2
2016-01-15,Bedroom2,Fan,308,32.4,72.0,OFF,2016,1,2
2016-01-15,Kitchen,AC,96,23.2,60.7,OFF,2016,1,2
2016-01-15,Kitchen,Lamp,427,27.9,50.4,ON,2016,1,2
2016-01-15,Kitchen,TV,227,27.4,79.9,ON,2016,1,2
2016-01-15,Kitchen,Heater,209,27.0,64.9,ON,2016,1,2
2016-01-15,Kitchen,Fan,138,28.9,63.2,OFF,2016,1,2
2016-01-15,Living Room,AC,316,33.2,50.6,OFF,2016,1,2
2016-01-15,Living Room,Lamp,78,33.3,78.2,OFF,2016,1,2
2016-01-15,Living Room,TV,219,32.1,66.2,ON,2016,1,2
2016-01-15,Living Room,Heater,444,21.3,56.3,ON,2016,1,2
2016-01-15,Living Room,Fan,87,23.9,68.9,OFF,2016,1,2
2016-01-15,Store Room,AC,451,21.2,48.8,ON,2016,1,2
2016-01-15,Store Room,Lamp,333,21.1,74.0,OFF,2016,1,2
